seller_article,ozon_sku,impr,clicks,ctr_pct,spend,cpc,orders,sales,drr_pct
2650v2-rx580-32-512-K1,3088337397,139455.0,7043.0,5.05,76975.48,10.93,6.0,461250.0,16.69
2650v2-rx580-32-1024-SL190,3275517737,269728.0,21899.0,8.12,61215.97,2.8,18.0,1633400.0,3.75
3600-3070M-16-512-K1,3200161956,143190.0,6930.0,4.84,47505.14,6.85,3.0,346000.0,13.73
2650v2-3070M-64-1024-SL190,3416925750,192778.0,12047.0,6.25,35025.82,2.91,9.0,1132286.0,3.09
2650v2-3070M-32-1024-SL190,3275537006,76124.0,2699.0,3.55,30956.86,11.47,0.0,0.0,0
2667v4-5060-64-1024-Z5,2634145701,90002.0,2024.0,2.25,26610.44,13.15,1.0,203000.0,13.11
2650v2-5050-32-1024-SL190,2838835023,61827.0,1510.0,2.44,25192.01,16.68,0.0,0.0,0
2650v2-rx580-64-1024-SL190,3072754573,76402.0,2380.0,3.12,24683.85,10.37,2.0,206654.0,11.94
2650v2-5050-64-1024-SL190,3275541205,109600.0,4086.0,3.73,18229.55,4.46,5.0,769208.0,2.37
2650v2-3070M-16-512-K1,3275535359,101374.0,4623.0,4.56,15324.23,3.31,10.0,1000000.0,1.53
2650v2-5050-64-1024-Z5,3089132589,60598.0,1506.0,2.49,15282.94,10.15,1.0,153552.0,9.95
2650v2-2060s-32-1024-SL190,3072649128,67879.0,1926.0,2.84,15231.48,7.91,3.0,343911.0,4.43
3600-3070M-32-1024-SL190,3200161920,52752.0,1265.0,2.4,13428.31,10.62,1.0,141000.0,9.52
2650v2-rx580-16-512-K1,3200161558,50994.0,1741.0,3.41,12169.45,6.99,1.0,78167.0,15.57
2650v2-3050-64-1024-SL190,3417005117,51463.0,816.0,1.59,6962.04,8.53,0.0,0.0,0
2667v4-5060ti-32-1024-SL190,3417272691,55864.0,969.0,1.73,6268.7,6.47,0.0,0.0,0
2650v2-3060-64-1024-SL190,3417343128,47944.0,1019.0,2.13,6248.81,6.13,1.0,144548.0,4.32
2650v2-3060-32-1024-SL190,3417353802,72524.0,1490.0,2.05,6230.26,4.18,0.0,0.0,0
5600g-16-512,3195398719,36935.0,1421.0,3.85,6178.29,4.35,0.0,0.0,0
2667v4-5060ti-64-1024-SL190,3417293193,72933.0,1181.0,1.62,6172.64,5.23,0.0,0.0,0
2650v2-1660s-16-512-K1,3200162514,78333.0,2889.0,3.69,6108.75,2.11,1.0,86484.0,7.06
2650v2-5050-32-1024-Z5,3416968084,90962.0,2796.0,3.07,6035.09,2.16,0.0,0.0,0
2667v4-5060-32-1024-SL190,3417079949,47735.0,864.0,1.81,6025.12,6.97,0.0,0.0,0
2667v4-5060-64-1024-SL190,3417075017,53772.0,1036.0,1.93,5835.24,5.63,0.0,0.0,0
2667v4-5060-32-1024-Z5,3417039369,44708.0,873.0,1.95,5661.24,6.48,0.0,0.0,0
e5-2650v2-32-1024-MX12,2452147054,0.0,0.0,0,0.0,0,0.0,0.0,0
