seller_article,ozon_sku,impr,clicks,ctr_pct,spend,cpc,orders,sales,drr_pct
2650v2-rx580-32-512-K1,3088337397,142736.0,7199.0,5.04,78840.92,10.95,7.0,540250.0,14.59
2650v2-rx580-32-1024-SL190,3275517737,276372.0,22499.0,8.14,62370.99,2.77,18.0,1633400.0,3.82
3600-3070M-16-512-K1,3200161956,146763.0,7049.0,4.8,48835.74,6.93,3.0,346000.0,14.11
2650v2-3070M-64-1024-SL190,3416925750,198109.0,12379.0,6.25,36027.08,2.91,10.0,1258486.0,2.86
2650v2-3070M-32-1024-SL190,3275537006,78489.0,2781.0,3.54,31974.94,11.5,0.0,0.0,0
2667v4-5060-64-1024-Z5,2634145701,91585.0,2062.0,2.25,27084.89,13.14,1.0,203000.0,13.34
2650v2-5050-32-1024-SL190,2838835023,62799.0,1527.0,2.43,25443.26,16.66,0.0,0.0,0
2650v2-rx580-64-1024-SL190,3072754573,77816.0,2423.0,3.11,25193.03,10.4,2.0,206654.0,12.19
2650v2-5050-64-1024-SL190,3275541205,112681.0,4217.0,3.74,18985.33,4.5,5.0,769208.0,2.47
2650v2-2060s-32-1024-SL190,3072649128,69471.0,1976.0,2.84,15626.01,7.91,3.0,343911.0,4.54
2650v2-3070M-16-512-K1,3275535359,103782.0,4768.0,4.59,15604.85,3.27,10.0,1000000.0,1.56
2650v2-5050-64-1024-Z5,3089132589,61973.0,1535.0,2.48,15537.06,10.12,1.0,153552.0,10.12
3600-3070M-32-1024-SL190,3200161920,54042.0,1306.0,2.42,13996.32,10.72,1.0,141000.0,9.93
2650v2-rx580-16-512-K1,3200161558,52377.0,1788.0,3.41,12664.01,7.08,1.0,78167.0,16.2
2650v2-3050-64-1024-SL190,3417005117,52356.0,849.0,1.62,7110.58,8.38,0.0,0.0,0
2667v4-5060ti-32-1024-SL190,3417272691,57142.0,998.0,1.75,6391.66,6.4,0.0,0.0,0
2650v2-3060-64-1024-SL190,3417343128,48637.0,1033.0,2.12,6361.83,6.16,1.0,144548.0,4.4
2650v2-3060-32-1024-SL190,3417353802,73509.0,1510.0,2.05,6357.83,4.21,0.0,0.0,0
5600g-16-512,3195398719,37576.0,1448.0,3.85,6348.31,4.38,0.0,0.0,0
2667v4-5060ti-64-1024-SL190,3417293193,74676.0,1216.0,1.63,6274.16,5.16,0.0,0.0,0
2650v2-1660s-16-512-K1,3200162514,79303.0,2933.0,3.7,6246.24,2.13,1.0,86484.0,7.22
2650v2-5050-32-1024-Z5,3416968084,92635.0,2833.0,3.06,6181.95,2.18,0.0,0.0,0
2667v4-5060-32-1024-SL190,3417079949,48469.0,876.0,1.81,6116.4,6.98,0.0,0.0,0
2667v4-5060-64-1024-SL190,3417075017,54214.0,1045.0,1.93,5916.57,5.66,0.0,0.0,0
2667v4-5060-32-1024-Z5,3417039369,45557.0,885.0,1.94,5771.8,6.52,0.0,0.0,0
e5-2650v2-32-1024-MX12,2452147054,0.0,0.0,0,0.0,0,0.0,0.0,0
