seller_article,ozon_sku,impr,clicks,ctr_pct,spend,cpc,orders,sales,drr_pct
2650v2-3070M-64-1024-SL190,3416925750,198109.0,12379.0,6.25,300149.18,24.25,31.0,3899707.0,7.7
2650v2-rx580-32-1024-SL190,3275517737,276372.0,22499.0,8.14,270710.99,12.03,41.0,3716800.0,7.28
2650v2-rx580-32-512-K1,3088337397,142736.0,7199.0,5.04,186635.92,25.93,21.0,1618200.0,11.53
2650v2-3070M-16-512-K1,3275535359,103782.0,4768.0,4.59,185604.85,38.93,27.0,2700000.0,6.87
3600-3070M-16-512-K1,3200161956,146763.0,7049.0,4.8,107268.74,15.22,8.0,930330.0,11.53
2650v2-5050-64-1024-SL190,3275541205,112681.0,4217.0,3.74,95906.13,22.74,10.0,1538416.0,6.23
2650v2-3070M-32-1024-SL190,3275537006,78489.0,2781.0,3.54,88002.54,31.64,5.0,560276.0,15.71
2650v2-2060s-32-1024-SL190,3072649128,69471.0,1976.0,2.84,84408.21,42.72,9.0,1031733.0,8.18
2650v2-3060-64-1024-SL190,3417343128,48637.0,1033.0,2.12,78635.83,76.12,6.0,867288.0,9.07
2650v2-1660s-16-512-K1,3200162514,79303.0,2933.0,3.7,75433.44,25.72,9.0,778356.0,9.69
2650v2-rx580-64-1024-SL190,3072754573,77816.0,2423.0,3.11,66523.83,27.46,6.0,619962.0,10.73
2650v2-5050-32-1024-SL190,2838835023,62799.0,1527.0,2.43,53651.66,35.14,2.0,282084.0,19.02
2667v4-5060-64-1024-Z5,2634145701,91585.0,2062.0,2.25,47384.89,22.98,2.0,406000.0,11.67
2650v2-5050-64-1024-Z5,3089132589,61973.0,1535.0,2.48,46247.46,30.13,3.0,460656.0,10.04
3600-3070M-32-1024-SL190,3200161920,54042.0,1306.0,2.42,41796.32,32.0,3.0,419000.0,9.98
2650v2-rx580-16-512-K1,3200161558,52377.0,1788.0,3.41,36114.11,20.2,4.0,312668.0,11.55
2650v2-5050-32-1024-Z5,3416968084,92635.0,2833.0,3.06,34390.35,12.14,2.0,282084.0,12.19
2650v2-3060-32-1024-SL190,3417353802,73509.0,1510.0,2.05,32765.23,21.7,2.0,264074.0,12.41
2667v4-5060ti-64-1024-SL190,3417293193,74676.0,1216.0,1.63,29164.46,23.98,1.0,228903.0,12.74
2667v4-5060-32-1024-SL190,3417079949,48469.0,876.0,1.81,23564.5,26.9,1.0,174481.0,13.51
5600g-16-512,3195398719,37576.0,1448.0,3.85,15848.31,10.94,1.0,95000.0,16.68
2650v2-3050-64-1024-SL190,3417005117,52356.0,849.0,1.62,7110.58,8.38,0.0,0.0,0
2667v4-5060ti-32-1024-SL190,3417272691,57142.0,998.0,1.75,6391.66,6.4,0.0,0.0,0
2667v4-5060-64-1024-SL190,3417075017,54214.0,1045.0,1.93,5916.57,5.66,0.0,0.0,0
2667v4-5060-32-1024-Z5,3417039369,45557.0,885.0,1.94,5771.8,6.52,0.0,0.0,0
e5-2650v2-32-1024-MX12,2452147054,0.0,0.0,0,5600.0,0,2.0,112000.0,5.0
