operation_type_code,operation_type_name,type_group,operations_count,amount_sum,map_to_ui_category
OperationPromotionWithCostPerOrder,Продвижение с оплатой за заказ,services,22,-1433735.8,
ClientReturnAgentOperation,"Получение возврата, отмены, невыкупа от покупателя",returns,16,-1336747.34,
OperationMarketplaceCostPerClick,Оплата за клик,services,552,-497153.59,
MarketplaceRedistributionOfAcquiringOperation,Оплата эквайринга,other,250,-123172.65,
StarsMembership,Звёздные товары,services,121,-67407.72,
OperationReturnGoodsFBSofRMS,"Доставка и обработка возврата, отмены, невыкупа",returns,24,-37589.44,
OperationSubscriptionPremiumPlus,Подписка Premium Plus,services,1,-24990.0,
DefectRateCancellation,Услуга за обработку операционных ошибок продавца: отмена,services,1,-5000.0,
DefectFineCancellation,Превышение индекса ошибок: отмена,services,1,-5000.0,
OperationItemReturn,"Доставка и обработка возврата, отмены, невыкупа",returns,4,-4515.35,
MarketplaceServiceEasyReturnRfbs,Услуги доставки Партнёрами Ozon на схеме realFBS: Лёгкий возврат Почтой России,orders,7,-4110.0,
DefectRateDeliveryDelayNonInt,Услуга за обработку операционных ошибок продавца: просроченная доставка,services,2,-4000.0,
OperationMarketPlaceItemPinReview,Закрепление отзыва,services,22,-3300.0,
DefectFineDeliveryDelayNonInt,Превышение индекса ошибок: просроченная доставка,services,1,-2000.0,
OperationMarketplaceItemTemporaryStorageRedistribution,Временное размещение товара партнерами,services,5,-1968.0,
DefectRateShipmentDelay,Услуга за обработку операционных ошибок продавца: просроченная отгрузка,services,1,-1800.0,
MarketplaceServiceItemServiceFeeRFBS,Сервисный сбор за интеграцию с логистической платформой,services,67,-1340.0,
DisposalReasonFailedToPickupOnTime,Утилизация товара: Вы не забрали в срок,services,1,-375.0,
DefectFineDeliveryDelayNonIntCancelled,Превышение индекса ошибок: просроченная доставка - отмена начисления,services,1,2000.0,
DefectRateDeliveryDelayNonInt,Услуга за обработку операционных ошибок продавца: просроченная доставка - отмена начисления,services,2,4000.0,
OperationAgentDeliveredToCustomer,Доставка покупателю,orders,121,9320357.63,
