seller_article,Продажа,Возврат,Комиссия,Эквайринг,Доставка,Реклама,Штраф,Хранение,Компенсация,Выплата,Прочее,Итого
2650v2-rx580-32-1024-SL190,2534200.0,-180800.0,-719646.0,-25758.77,5238629.37,-12671.0,0.0,-153.0,0.0,1618268.14,0.0,8452068.74
2650v2-3070M-64-1024-SL190,2262119.0,-125698.0,-645949.77,-25392.86,4703273.8,-11310.6,0.0,0.0,0.0,1481909.41,0.0,7638950.98
2650v2-3070M-16-512-K1,2000000.0,-300000.0,-513000.0,-22131.02,4085816.01,-10000.0,0.0,0.0,0.0,1149560.79,0.0,6390245.78
2650v2-5050-64-1024-SL190,1074864.0,-764208.0,-99303.36,3560.54,2225387.35,-5374.32,0.0,-213.0,0.0,209585.79,0.0,2644299.0
3600-3070M-16-512-K1,582330.0,0.0,-167325.8,-6759.17,1233436.14,-2911.65,0.0,0.0,0.0,411145.38,0.0,2049914.9
2650v2-3070M-32-1024-SL190,559748.0,0.0,-168994.4,-4705.39,1161460.23,-2798.76,0.0,0.0,0.0,387902.12,0.0,1932611.8
2650v2-rx580-32-512-K1,543122.0,-76450.0,-146277.04,-7538.85,1110041.3,-2715.61,0.0,-123.0,0.0,317227.27,0.0,1737286.07
2650v2-3060-64-1024-SL190,433644.0,0.0,-131538.68,-3971.64,901088.04,-2168.22,0.0,0.0,0.0,300362.68,0.0,1497416.18
2650v2-5050-32-1024-SL190,423126.0,0.0,-128348.22,1467.9,878985.6,-2115.63,0.0,0.0,0.0,292995.2,0.0,1466110.85
2667v4-5060-64-1024-Z5,406000.0,0.0,-125860.0,-2200.73,840420.0,-2030.0,0.0,0.0,0.0,280140.0,0.0,1396469.27
2650v2-3060-32-1024-SL190,396111.0,0.0,-122794.41,-784.95,819949.77,-1980.57,0.0,0.0,0.0,273316.59,0.0,1363817.43
2650v2-rx580-64-1024-SL190,413308.0,-100000.0,-81626.43,-2190.68,891852.3,-2066.56,0.0,0.0,0.0,228284.1,0.0,1347560.73
2650v2-5050-64-1024-Z5,307104.0,0.0,-92131.2,-3252.38,639688.02,-1535.52,0.0,0.0,0.0,213229.34,0.0,1063102.26
2650v2-5050-32-1024-Z5,282084.0,0.0,-87446.04,-3182.52,583913.88,-1410.42,0.0,0.0,0.0,194637.96,0.0,968596.86
2650v2-rx580-16-512-K1,238334.0,0.0,-69116.86,-2677.78,498102.96,-1191.68,0.0,0.0,0.0,166034.32,0.0,829484.96
2650v2-2060s-32-1024-SL190,229274.0,0.0,-68782.2,-5332.23,471719.99,-1146.38,0.0,0.0,0.0,158755.34,0.0,784488.52
2650v2-1660s-16-512-K1,259452.0,-86484.0,-51890.4,-3938.31,519687.05,-1297.26,0.0,-714.0,0.0,115310.4,0.0,750125.48
2667v4-5060-32-1024-Z5,174481.0,0.0,-54089.11,0.0,361175.67,-872.41,0.0,0.0,0.0,120391.89,0.0,601087.04
5600X-16-512-3070,140000.0,0.0,-43400.0,0.0,289800.0,-700.0,0.0,0.0,0.0,96600.0,0.0,482300.0
3600-3070M-32-1024-SL190,151574.0,-151574.0,0.0,-2862.66,313758.18,-757.87,0.0,0.0,0.0,0.0,0.0,310137.65
750-512,70652.0,0.0,-18369.52,0.0,154330.71,-353.26,0.0,0.0,0.0,51443.57,0.0,257703.5
2650v2-gtx750-32-512,0.0,0.0,0.0,745.56,-1279.05,0.0,0.0,-765.0,0.0,0.0,0.0,-1298.49
2667v4-5060-32-1024-SL190,0.0,0.0,0.0,-1862.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1862.42
5600g-16-512,0.0,0.0,0.0,-1055.98,-2269.22,0.0,0.0,0.0,0.0,0.0,0.0,-3325.2
2667v4-5060ti-64-1024-SL190,0.0,0.0,0.0,-4894.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4894.42
2650-64,0.0,-121000.0,37510.0,1546.11,0.0,0.0,-375.0,0.0,0.0,-83490.0,0.0,-165808.89
UNALLOCATED__NO_SKU,0.0,0.0,0.0,0.0,-5450.0,-1959179.39,-6800.0,0.0,0.0,0.0,-5000.0,-1976429.39
