seller_article,name,revenue,ordered_units,sale_commission,returns_finance,acquiring,logistics,ad_spend_finance,penalties,net_amount_finance,tax_vat_5pct,tax_usn_6pct,pnl_no_cogs_after_5pct,pnl_no_cogs_after_6pct,ad_perf_spend,ad_perf_orders,ad_perf_sales,ad_perf_clicks,ad_perf_impr
2650v2-rx580-32-1024-SL190,"О Ксеон Системный блок (Intel Core i7-7700, RAM 32 ГБ, SSD 1024 ГБ, AMD Radeon RX 580 (8 Гб), Windows 10 Pro), черный",3529000.0,39.0,-693546.0,-129647.05,-25758.77,1682746.72,-12221.0,0.0,1516245.95,176450.0,211740.0,1339795.95,1304505.95,61527.72,18.0,1633400.0,22040.0,271252.0
2650v2-3070M-64-1024-SL190,"О Ксеон Системный блок (Intel Core i7-7700, RAM 64 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 3070 (8 Гб), Windows 10 Pro), черный",3144013.0,25.0,-645949.77,-99436.75,-24004.59,1560963.82,-11310.6,0.0,1436403.05,157200.65,188640.78,1279202.4,1247762.27,35168.49,9.0,1132286.0,12099.0,193689.0
2650v2-3070M-16-512-K1,"О Ксеон Системный блок (Intel Core i7-7700, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3070 (8 Гб), Windows 10 Pro), черный",2600000.0,26.0,-513000.0,-214866.36,-21539.86,1360694.43,-10000.0,0.0,1116154.57,130000.0,156000.0,986154.57,960154.57,15393.73,10.0,1000000.0,4653.0,101982.0
2650v2-3070M-32-1024-SL190,"О Ксеон Системный блок (Intel Core i7-7700, RAM 32 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3070 (8 Гб), Windows 10 Pro), черный",673463.0,6.0,-168994.4,-2246.13,-4705.39,385655.99,-2798.76,0.0,378151.84,33673.15,40407.78,344478.69,337744.06,31134.42,0.0,0.0,2712.0,76577.0
2650v2-5050-32-1024-SL190,"О Ксеон Системный блок (Intel Core i7-7700, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5050 (8 Гб), Windows 10 Pro), черный",282084.0,2.0,-128348.22,0.0,1467.9,292995.2,-2115.63,0.0,292347.47,14104.2,16925.04,278243.27,275422.43,25215.35,0.0,0.0,1511.0,61929.0
3600-3070M-16-512-K1,"О Ксеон Системный блок (AMD Ryzen 5 3600, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3070 (8 Гб), Windows 10 Pro), черный",816330.0,7.0,-133685.8,0.0,-6759.17,329837.07,-2331.65,0.0,320746.25,40816.5,48979.8,279929.75,271766.45,47787.1,3.0,346000.0,6955.0,143973.0
2667v4-5060-64-1024-Z5,"О Ксеон Системный блок (Intel Xeon E5-2667V4, RAM 64 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 5060 (8 Гб), Windows 10 Pro), белый",406000.0,2.0,-125860.0,0.0,-2200.73,280140.0,-2030.0,0.0,275909.27,20300.0,24360.0,255609.27,251549.27,26621.98,1.0,203000.0,2028.0,90238.0
2650v2-3060-64-1024-SL190,"О Ксеон Системный блок (Intel Core i7-7700, RAM 64 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows 10 Pro), черный",722740.0,5.0,-131538.68,0.0,-3971.64,300362.68,-2168.22,0.0,294222.82,36137.0,43364.4,258085.82,250858.42,6259.58,1.0,144548.0,1021.0,48103.0
2650v2-3060-32-1024-SL190,"О Ксеон Системный блок (Intel Core i7-7700, RAM 32 ГБ, SSD 1024 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows 10 Pro), черный",396111.0,3.0,-122794.41,0.0,-784.95,273316.59,-1980.57,0.0,270551.07,19805.55,23766.66,250745.52,246784.41,6265.43,0.0,0.0,1498.0,72722.0
2650v2-rx580-32-512-K1,"О Ксеон Системный блок (Intel Core i7-7700, RAM 32 ГБ, SSD 512 ГБ, AMD Radeon RX 580 (8 Гб), Windows 10 Pro), черный",1457650.0,19.0,-146277.04,-58758.51,-6899.67,367027.76,-2715.61,0.0,303009.98,72882.5,87459.0,230127.48,215550.98,77296.39,6.0,461250.0,7070.0,140079.0
