seller_article,finance_amount_total,finance_ad_component,finance_amount_excl_ads,ad_cost_from_ads_report,accruals_for_sale,sale_commission,pnl_final
2650v2-rx580-32-1024-SL190,1578406.32,-12671.0,1591077.32,270710.99,2353400.0,-719646.0,1320366.33
2650v2-3070M-64-1024-SL190,1435014.78,-11310.6,1446325.38,300149.18,2136421.0,-645949.77,1146176.2
2650v2-3070M-16-512-K1,1115563.41,-10000.0,1125563.41,185604.85,1700000.0,-513000.0,939958.56
3600-3070M-16-512-K1,401474.56,-2911.65,404386.21,107268.74,582330.0,-167325.8,297117.47
2650v2-3070M-32-1024-SL190,378151.84,-2798.76,380950.6,88002.54,559748.0,-168994.4,292948.06
2650v2-5050-32-1024-SL190,292347.47,-2115.63,294463.1,53651.66,423126.0,-128348.22,240811.44
2650v2-3060-32-1024-SL190,270551.07,-1980.57,272531.64,32765.23,396111.0,-122794.41,239766.41
2667v4-5060-64-1024-Z5,275909.27,-2030.0,277939.27,47384.89,406000.0,-125860.0,230554.38
2650v2-3060-64-1024-SL190,294222.82,-2168.22,296391.04,78635.83,433644.0,-131538.68,217755.21
2650v2-5050-64-1024-Z5,208441.44,-1535.52,209976.96,46247.46,307104.0,-92131.2,163729.5
2650v2-rx580-64-1024-SL190,224026.86,-2066.56,226093.42,66523.83,313308.0,-81626.43,159569.59
2650v2-5050-32-1024-Z5,190045.02,-1410.42,191455.44,34390.35,282084.0,-87446.04,157065.09
2650v2-rx580-16-512-K1,162164.86,-1191.68,163356.54,36114.11,238334.0,-69116.86,127242.43
2650v2-rx580-32-512-K1,302370.8,-2715.61,305086.41,186635.92,466672.0,-146277.04,118450.49
2667v4-5060-32-1024-Z5,119519.48,-872.41,120391.89,5771.8,174481.0,-54089.11,114620.09
2650v2-5050-64-1024-SL190,204065.31,-5374.32,209439.63,95906.13,310656.0,-99303.36,113533.5
5600X-16-512-3070,95900.0,-700.0,96600.0,0.0,140000.0,-43400.0,96600.0
2650v2-2060s-32-1024-SL190,147730.7,-1146.38,148877.08,84408.21,229274.0,-68782.2,64468.87
750-512,51090.31,-353.26,51443.57,0.0,70652.0,-18369.52,51443.57
2650v2-1660s-16-512-K1,98905.76,-1297.26,100203.02,75433.44,172968.0,-51890.4,24769.58
2650v2-gtx750-32-512,-1298.49,0.0,-1298.49,0.0,0.0,0.0,-1298.49
e5-2650v2-32-1024-MX12,0.0,0.0,0.0,5600.0,0.0,0.0,-5600.0
2667v4-5060-64-1024-SL190,0.0,0.0,0.0,5916.57,0.0,0.0,-5916.57
2667v4-5060ti-32-1024-SL190,0.0,0.0,0.0,6391.66,0.0,0.0,-6391.66
2650v2-3050-64-1024-SL190,0.0,0.0,0.0,7110.58,0.0,0.0,-7110.58
5600g-16-512,-3325.2,0.0,-3325.2,15848.31,0.0,0.0,-19173.51
2667v4-5060-32-1024-SL190,-1862.42,0.0,-1862.42,23564.5,0.0,0.0,-25426.92
2667v4-5060ti-64-1024-SL190,-4894.42,0.0,-4894.42,29164.46,0.0,0.0,-34058.88
3600-3070M-32-1024-SL190,-3620.53,-757.87,-2862.66,41796.32,0.0,0.0,-44658.98
UNALLOCATED__NO_SKU,-1976429.39,-1930889.39,-45540.0,0.0,0.0,0.0,-45540.0
2650-64,-82318.89,0.0,-82318.89,0.0,-121000.0,37510.0,-82318.89
