seller_article,Начислено за продажи,Вознаграждение Ozon,Продвижение и реклама,Услуги доставки,Штрафы и услуги агентов,Всё остальное,Итого (amount)
2650v2-rx580-32-1024-SL190,2353400.0,-719646.0,-270710.99,1745357.09,0.0,-1529993.78,1578406.32
2650v2-3070M-64-1024-SL190,2136421.0,-645949.77,-300149.18,1560963.82,0.0,-1316271.09,1435014.78
2650v2-3070M-16-512-K1,1700000.0,-513000.0,-185604.85,1360694.43,0.0,-1246526.17,1115563.41
3600-3070M-16-512-K1,582330.0,-167325.8,-107268.74,411145.38,0.0,-317406.28,401474.56
2650v2-3070M-32-1024-SL190,559748.0,-168994.4,-88002.54,385655.99,0.0,-310255.21,378151.84
2650v2-rx580-32-512-K1,466672.0,-146277.04,-186635.92,367027.76,0.0,-198416.0,302370.8
2650v2-3060-64-1024-SL190,433644.0,-131538.68,-78635.83,300362.68,0.0,-229609.35,294222.82
2650v2-5050-32-1024-SL190,423126.0,-128348.22,-53651.66,292995.2,0.0,-241773.85,292347.47
2667v4-5060-64-1024-Z5,406000.0,-125860.0,-47384.89,280140.0,0.0,-236985.84,275909.27
2650v2-3060-32-1024-SL190,396111.0,-122794.41,-32765.23,273316.59,0.0,-243316.88,270551.07
2650v2-rx580-64-1024-SL190,313308.0,-81626.43,-66523.83,297284.1,0.0,-238414.98,224026.86
2650v2-5050-64-1024-Z5,307104.0,-92131.2,-46247.46,213229.34,0.0,-173513.24,208441.44
2650v2-5050-64-1024-SL190,310656.0,-99303.36,-95906.13,739466.65,0.0,-650847.85,204065.31
2650v2-5050-32-1024-Z5,282084.0,-87446.04,-34390.35,194637.96,0.0,-164840.55,190045.02
2650v2-rx580-16-512-K1,238334.0,-69116.86,-36114.11,166034.32,0.0,-136972.49,162164.86
2650v2-2060s-32-1024-SL190,229274.0,-68782.2,-84408.21,154209.31,0.0,-82562.2,147730.7
2667v4-5060-32-1024-Z5,174481.0,-54089.11,-5771.8,120391.89,0.0,-115492.5,119519.48
2650v2-1660s-16-512-K1,172968.0,-51890.4,-75433.44,166258.97,0.0,-112997.37,98905.76
5600X-16-512-3070,140000.0,-43400.0,-0.0,96600.0,0.0,-97300.0,95900.0
750-512,70652.0,-18369.52,-0.0,51443.57,0.0,-52635.74,51090.31
2650v2-gtx750-32-512,0.0,0.0,-0.0,-1279.05,0.0,-19.44,-1298.49
2667v4-5060-32-1024-SL190,0.0,0.0,-23564.5,0.0,0.0,21702.08,-1862.42
5600g-16-512,0.0,0.0,-15848.31,-2269.22,0.0,14792.33,-3325.2
3600-3070M-32-1024-SL190,0.0,0.0,-41796.32,104586.06,0.0,-66410.27,-3620.53
2667v4-5060ti-64-1024-SL190,0.0,0.0,-29164.46,0.0,0.0,24270.04,-4894.42
2650-64,-121000.0,37510.0,-0.0,0.0,0.0,1171.11,-82318.89
UNALLOCATED__NO_SKU,0.0,0.0,-0.0,-4110.0,-38990.0,-1933329.39,-1976429.39
